"ReportingCountry","Group","Vaccine brand","Week","Group population","Doses received","First dose","Second dose","Unknown dose","Refused first doses","First dose uptake (%)","Second dose uptake (%)","Unknown dose uptake (%)","Total doses","Uptake any dose (%)"
"Portugal","ALL","COM","2020-52","8578859","9750","4967","0","0","","0.1","0","0","4967","0.1"
"Portugal","ALL","COM","2020-53","8578859","50700","27871","1","0","","0.3","0.0000116565617875291","0","27872","0.3"
"Portugal","ALL","COM","2021-01","8578859","86589","42190","5","1","","0.5","0.0000582828089376454","0.0000116565617875291","42196","0.5"
"Portugal","ALL","MOD","2021-02","8578859","8400","1420","0","0","","0.0","0","0","1420","0.0"
"Portugal","ALL","COM","2021-02","8578859","95940","46168","1160","0","","0.5","0.0135216116735337","0","47328","0.6"
"Portugal","ALL","MOD","2021-03","8578859","0","1491","1","0","","0.0","0.0000116565617875291","0","1492","0.0"
"Portugal","ALL","COM","2021-03","8578859","47970","118352","30015","3","","1.4","0.349871702052686","0.0000349696853625873","148370","1.7"
"Portugal","ALL","AZ","2021-03","8578859","0","1","0","0","","0.0","0","0","1","0.0"
"Portugal","ALL","MOD","2021-04","8578859","10800","536","0","0","","0.0","0","0","536","0.0"
"Portugal","ALL","COM","2021-04","8578859","99450","40748","39421","5","","0.5","0.459513322226184","0.0000582828089376454","80174","0.9"
"Portugal","ALL","MOD","2021-05","8578859","0","6390","0","0","","0.1","0","0","6390","0.1"
"Portugal","ALL","COM","2021-05","8578859","63180","12289","35549","2","","0.1","0.414379114984872","0.0000233131235750582","47840","0.6"
"Portugal","ALL","AZ","2021-05","8578859","43200","2","0","0","","0.0","0","0","2","0.0"
"Portugal","ALL","AZ","2021-06","8578859","48000","9326","1","0","","0.1","0.0000116565617875291","0","9327","0.1"
"Portugal","ALL","COM","2021-06","8578859","87750","24558","95186","23","","0.3","1.10954149030774","0.000268100921113169","119767","1.4"
"Portugal","ALL","MOD","2021-06","8578859","22800","1332","1010","0","","0.0","0.0117731274054044","0","2342","0.0"
"Portugal","ALL","AZ","2021-07","8578859","86400","40957","5","0","","0.5","0.0000582828089376454","0","40962","0.5"
"Portugal","ALL","COM","2021-07","8578859","92430","46644","46396","18","","0.5","0.5408178406942","0.000209818112175524","93058","1.1"
"Portugal","ALL","MOD","2021-07","8578859","0","9446","1397","1","","0.1","0.0162842168171781","0.0000116565617875291","10844","0.1"
"Portugal","ALL","AZ","2021-08","8578859","0","59163","8","0","","0.7","0.0000932524943002327","0","59171","0.7"
"Portugal","ALL","COM","2021-08","8578859","107640","106128","15028","6","","1.2","0.175174810542987","0.0000699393707251745","121162","1.4"
"Portugal","ALL","MOD","2021-08","8578859","42000","3507","98","0","","0.0","0.00114234305517785","0","3605","0.0"
"Portugal","Age18_24","COM","2020-52","775701","","169","0","0","","0.0","0","0","169","0.0"
"Portugal","Age18_24","COM","2020-53","775701","","1123","0","0","","0.1","0","0","1123","0.1"
"Portugal","Age18_24","COM","2021-01","775701","","1514","0","0","","0.2","0","0","1514","0.2"
"Portugal","Age18_24","MOD","2021-02","775701","","131","0","0","","0.0","0","0","131","0.0"
"Portugal","Age18_24","COM","2021-02","775701","","1234","55","0","","0.2","0.00709036084780089","0","1289","0.2"
"Portugal","Age18_24","MOD","2021-03","775701","","116","0","0","","0.0","0","0","116","0.0"
"Portugal","Age18_24","COM","2021-03","775701","","3617","1132","0","","0.5","0.14593251781292","0","4749","0.6"
"Portugal","Age18_24","MOD","2021-04","775701","","21","0","0","","0.0","0","0","21","0.0"
"Portugal","Age18_24","COM","2021-04","775701","","1352","1352","1","","0.2","0.174293961204124","0.000128915651778198","2705","0.3"
"Portugal","Age18_24","MOD","2021-05","775701","","398","0","0","","0.1","0","0","398","0.1"
"Portugal","Age18_24","COM","2021-05","775701","","374","903","0","","0.0","0.116410833555713","0","1277","0.2"
"Portugal","Age18_24","AZ","2021-06","775701","","686","0","0","","0.1","0","0","686","0.1"
"Portugal","Age18_24","COM","2021-06","775701","","551","2864","0","","0.1","0.369214426692759","0","3415","0.4"
"Portugal","Age18_24","MOD","2021-06","775701","","89","78","0","","0.0","0.0100554208386994","0","167","0.0"
"Portugal","Age18_24","AZ","2021-07","775701","","1678","0","0","","0.2","0","0","1678","0.2"
"Portugal","Age18_24","COM","2021-07","775701","","441","1497","0","","0.1","0.192986730711962","0","1938","0.2"
"Portugal","Age18_24","MOD","2021-07","775701","","24","146","0","","0.0","0.0188216851596169","0","170","0.0"
"Portugal","Age18_24","AZ","2021-08","775701","","973","2","0","","0.1","0.000257831303556396","0","975","0.1"
"Portugal","Age18_24","COM","2021-08","775701","","186","501","0","","0.0","0.0645867415408772","0","687","0.1"
"Portugal","Age18_24","MOD","2021-08","775701","","14","9","0","","0.0","0.00116024086600378","0","23","0.0"
"Portugal","Age25_49","COM","2020-52","3360653","","3150","0","0","","0.1","0","0","3150","0.1"
"Portugal","Age25_49","COM","2020-53","3360653","","18999","1","0","","0.6","0.0000297561218013285","0","19000","0.6"
"Portugal","Age25_49","COM","2021-01","3360653","","24387","3","1","","0.7","0.0000892683654039855","0.0000297561218013285","24391","0.7"
"Portugal","Age25_49","MOD","2021-02","3360653","","947","0","0","","0.0","0","0","947","0.0"
"Portugal","Age25_49","COM","2021-02","3360653","","14611","778","0","","0.4","0.0231502627614336","0","15389","0.5"
"Portugal","Age25_49","MOD","2021-03","3360653","","962","1","0","","0.0","0.0000297561218013285","0","963","0.0"
"Portugal","Age25_49","COM","2021-03","3360653","","35704","20187","2","","1.1","0.600686830803418","0.000059512243602657","55893","1.7"
"Portugal","Age25_49","MOD","2021-04","3360653","","353","0","0","","0.0","0","0","353","0.0"
"Portugal","Age25_49","COM","2021-04","3360653","","15330","22830","3","","0.5","0.67933226072433","0.0000892683654039855","38163","1.1"
"Portugal","Age25_49","MOD","2021-05","3360653","","4002","0","0","","0.1","0","0","4002","0.1"
"Portugal","Age25_49","COM","2021-05","3360653","","3374","11652","1","","0.1","0.34671833122908","0.0000297561218013285","15027","0.4"
"Portugal","Age25_49","AZ","2021-05","3360653","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","Age25_49","AZ","2021-06","3360653","","6636","1","0","","0.2","0.0000297561218013285","0","6637","0.2"
"Portugal","Age25_49","COM","2021-06","3360653","","4779","29077","9","","0.1","0.865218753617229","0.000267805096211956","33865","1.0"
"Portugal","Age25_49","MOD","2021-06","3360653","","786","661","0","","0.0","0.0196687965106781","0","1447","0.0"
"Portugal","Age25_49","AZ","2021-07","3360653","","16993","3","0","","0.5","0.0000892683654039855","0","16996","0.5"
"Portugal","Age25_49","COM","2021-07","3360653","","3453","17137","7","","0.1","0.509930659309366","0.000208292852609299","20597","0.6"
"Portugal","Age25_49","MOD","2021-07","3360653","","127","919","0","","0.0","0.0273458759354209","0","1046","0.0"
"Portugal","Age25_49","AZ","2021-08","3360653","","8154","5","0","","0.2","0.000148780609006642","0","8159","0.2"
"Portugal","Age25_49","COM","2021-08","3360653","","1784","4710","2","","0.1","0.140151333684257","0.000059512243602657","6496","0.2"
"Portugal","Age25_49","MOD","2021-08","3360653","","90","71","0","","0.0","0.00211268464789432","0","161","0.0"
"Portugal","Age50_59","COM","2020-52","1485319","","1090","0","0","","0.1","0","0","1090","0.1"
"Portugal","Age50_59","COM","2020-53","1485319","","5404","0","0","","0.4","0","0","5404","0.4"
"Portugal","Age50_59","COM","2021-01","1485319","","8395","0","0","","0.6","0","0","8395","0.6"
"Portugal","Age50_59","MOD","2021-02","1485319","","167","0","0","","0.0","0","0","167","0.0"
"Portugal","Age50_59","COM","2021-02","1485319","","7875","211","0","","0.5","0.014205702613378","0","8086","0.5"
"Portugal","Age50_59","MOD","2021-03","1485319","","281","0","0","","0.0","0","0","281","0.0"
"Portugal","Age50_59","COM","2021-03","1485319","","19387","5987","0","","1.3","0.403078395954","0","25374","1.7"
"Portugal","Age50_59","AZ","2021-03","1485319","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","Age50_59","MOD","2021-04","1485319","","107","0","0","","0.0","0","0","107","0.0"
"Portugal","Age50_59","COM","2021-04","1485319","","7506","7948","0","","0.5","0.535103906972172","0","15454","1.0"
"Portugal","Age50_59","COM","2021-05","1485319","","1913","6202","1","","0.1","0.417553400986589","0.0000673256048027393","8116","0.5"
